INFO -   Found event LogValue in TX 0x276caf862c77caa083d1d8fe83116d573066c7c73a7ae5501eb2703e1d94b493 at block 22428226, sent from: 0xf363c7e351C96b910b92b45d34190650df4aE8e7
INFO -   Found event LogValue in TX 0x276caf862c77caa083d1d8fe83116d573066c7c73a7ae5501eb2703e1d94b493 at block 22428226, sent from: 0x8Df8f06DC2dE0434db40dcBb32a82A104218754c
INFO -   Found event LogValue in TX 0x276caf862c77caa083d1d8fe83116d573066c7c73a7ae5501eb2703e1d94b493 at block 22428226, sent from: 0x8874964279302e6d4e523Fb1789981C39a1034Ba
INFO -   Found event LogValue in TX 0x276caf862c77caa083d1d8fe83116d573066c7c73a7ae5501eb2703e1d94b493 at block 22428226, sent from: 0xFe7a2aC0B945f12089aEEB6eCebf4F384D9f043F
INFO -   Found event LogValue in TX 0x276caf862c77caa083d1d8fe83116d573066c7c73a7ae5501eb2703e1d94b493 at block 22428226, sent from: 0xeE7F0b350aA119b3d05DC733a4621a81972f7D47
INFO -   Found event LogValue in TX 0x276caf862c77caa083d1d8fe83116d573066c7c73a7ae5501eb2703e1d94b493 at block 22428226, sent from: 0xd800ca44fFABecd159c7889c3bf64a217361AEc8
INFO -   Found event LogValue in TX 0xcea2ef096d0b614fefaf1aa0a9c21cabd2557f07e59ea17b72e2a65ab7594704 at block 22433058, sent from: 0xd800ca44fFABecd159c7889c3bf64a217361AEc8
INFO -   Found event LogValue in TX 0xeeddd1f1aec4a89fb7b8de5de8f1385855334bff9cd1dbaaaebadd610e5f2801 at block 22433771, sent from: 0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763
INFO -   Found event LogValue in TX 0xeeddd1f1aec4a89fb7b8de5de8f1385855334bff9cd1dbaaaebadd610e5f2801 at block 22433771, sent from: 0xB4eb54AF9Cc7882DF0121d26c5b97E802915ABe6
INFO -   Found event LogValue in TX 0xeeddd1f1aec4a89fb7b8de5de8f1385855334bff9cd1dbaaaebadd610e5f2801 at block 22433771, sent from: 0xf185d0682d50819263941e5f4EacC763CC5C6C42
INFO -   Found event LogValue in TX 0xeeddd1f1aec4a89fb7b8de5de8f1385855334bff9cd1dbaaaebadd610e5f2801 at block 22433771, sent from: 0x7382c066801E7Acb2299aC8562847B9883f5CD3c
INFO -   Found event LogValue in TX 0xeeddd1f1aec4a89fb7b8de5de8f1385855334bff9cd1dbaaaebadd610e5f2801 at block 22433771, sent from: 0xf36B79BD4C0904A5F350F1e4f776B81208c13069
INFO -   Found event LogValue in TX 0xeeddd1f1aec4a89fb7b8de5de8f1385855334bff9cd1dbaaaebadd610e5f2801 at block 22433771, sent from: 0x8067259EA630601f319FccE477977E55C6078C13
INFO -   Found event LogValue in TX 0xeeddd1f1aec4a89fb7b8de5de8f1385855334bff9cd1dbaaaebadd610e5f2801 at block 22433771, sent from: 0x7a5918670B0C390aD25f7beE908c1ACc2d314A3C
